1_0,2_0,2_1,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,E
1.0325106e-14,2.5837131e-13,1.8437557e-12,3.778919e-12,2.3609193e-11,3.1389825e-11,4.2322905e-11,1.9632102e-10,5.7833712e-09,8.1457059e-11,1.1835717e-07,5.9595804
1.0330062e-14,2.5842806e-13,1.8528889e-12,3.7776703e-12,2.3667777e-11,3.4725997e-11,4.2266132e-11,1.9558435e-10,6.259864e-09,7.5753959e-11,1.0992552e-07,6.2315499
1.0334716e-14,2.5847097e-13,1.8612252e-12,3.7762442e-12,2.3721763e-11,3.904195e-11,4.2204907e-11,1.9481693e-10,6.8100605e-09,7.0648899e-11,1.0185293e-07,6.5159309
1.0339023e-14,2.5849868e-13,1.8686772e-12,3.7746278e-12,2.3770908e-11,4.4624775e-11,4.2139011e-11,1.940184e-10,7.4472702e-09,6.6150874e-11,9.4149517e-08,6.8132898
1.0342934e-14,2.5850983e-13,1.8751574e-12,3.7728075e-12,2.3815049e-11,5.1820951e-11,4.2068235e-11,1.931886e-10,8.1872036e-09,6.2271698e-11,8.6821584e-08,7.1242189
1.0346399e-14,2.5850306e-13,1.8805803e-12,3.77077e-12,2.3854127e-11,6.1046756e-11,4.1992388e-11,1.9232719e-10,9.0483847e-09,5.901166e-11,7.9872606e-08,7.4493374
1.0349366e-14,2.5847706e-13,1.8848643e-12,3.768502e-12,2.3888217e-11,7.2800371e-11,4.1911303e-11,1.9143325e-10,1.0052479e-08,5.6369496e-11,7.3302712e-08,7.789293
1.0351782e-14,2.5843057e-13,1.887934e-12,3.7659906e-12,2.3917564e-11,8.7675919e-11,4.1824827e-11,1.9050573e-10,1.1224798e-08,5.4336476e-11,6.7110209e-08,8.1447626
1.035359e-14,2.5836245e-13,1.8897241e-12,3.7632237e-12,2.3942624e-11,1.0637894e-10,4.173276e-11,1.8954345e-10,1.2599482e-08,5.2894574e-11,6.1293185e-08,8.5164544
1.0354737e-14,2.5827171e-13,1.8901822e-12,3.76019e-12,2.3963817e-11,1.2951026e-10,4.1634906e-11,1.8854515e-10,1.4229445e-08,5.2035235e-11,5.5845381e-08,8.9051085
1.0355166e-14,2.5815757e-13,1.8892743e-12,3.7568799e-12,2.398103e-11,1.5716378e-10,4.1531094e-11,1.875095e-10,1.6180472e-08,5.1737925e-11,5.0756788e-08,9.3114992
1.0354825e-14,2.5801954e-13,1.8869901e-12,3.7532859e-12,2.3994111e-11,1.8927306e-10,4.1421191e-11,1.864352e-10,1.8531584e-08,5.1966192e-11,4.6020595e-08,9.7364357
1.0353663e-14,2.5785753e-13,1.8833495e-12,3.7494031e-12,2.4002974e-11,2.2565772e-10,4.1305107e-11,1.8532172e-10,2.1371222e-08,5.2694999e-11,4.1625053e-08,10.180765
1.0351636e-14,2.5767188e-13,1.8784109e-12,3.74523e-12,2.4007619e-11,2.6599569e-10,4.118281e-11,1.8416887e-10,2.4729467e-08,5.3895565e-11,3.7559458e-08,10.645371
1.0348704e-14,2.5746355e-13,1.8722804e-12,3.7407695e-12,2.4008157e-11,3.097902e-10,4.1054193e-11,1.8297671e-10,2.8583509e-08,5.5520302e-11,3.3809466e-08,11.131179
1.0344838e-14,2.5723425e-13,1.8651234e-12,3.7360262e-12,2.4004775e-11,3.5633097e-10,4.0918997e-11,1.8174559e-10,3.2892413e-08,5.7525321e-11,3.036172e-08,11.639158
1.0340021e-14,2.5698661e-13,1.8571775e-12,3.7309924e-12,2.3997553e-11,4.046483e-10,4.077696e-11,1.8047618e-10,3.7593761e-08,5.9873817e-11,2.7201178e-08,12.170319
1.0334253e-14,2.5672434e-13,1.8487688e-12,3.7256576e-12,2.3986609e-11,4.5345915e-10,4.0627823e-11,1.7916958e-10,4.2595872e-08,6.2512318e-11,2.4313192e-08,12.72572
1.0327552e-14,2.5645255e-13,1.8403298e-12,3.7200124e-12,2.3972188e-11,5.0110382e-10,4.0471339e-11,1.7782683e-10,4.7678222e-08,6.5387969e-11,2.1681491e-08,13.306467
1.0319963e-14,2.5617798e-13,1.8324216e-12,3.714049e-12,2.3954689e-11,5.4547174e-10,4.0307274e-11,1.7644817e-10,5.2435604e-08,6.8456411e-11,1.9290866e-08,13.913716
1.0311563e-14,2.5590933e-13,1.8257592e-12,3.7077618e-12,2.3934638e-11,5.8411532e-10,4.0135415e-11,1.7503381e-10,5.6342609e-08,7.1659696e-11,1.7125082e-08,14.548678
1.0302468e-14,2.5565537e-13,1.8210592e-12,3.7011473e-12,2.3912198e-11,6.1585301e-10,3.9955571e-11,1.7358403e-10,5.8736491e-08,7.4945002e-11,1.5169128e-08,15.212617
1.029284e-14,2.5541826e-13,1.8185112e-12,3.694206e-12,2.3887314e-11,6.4034386e-10,3.9767532e-11,1.7209904e-10,5.8887872e-08,7.8266046e-11,1.3407228e-08,15.906855
1.0282901e-14,2.5519819e-13,1.8181418e-12,3.6869419e-12,2.3859956e-11,6.5734984e-10,3.9571097e-11,1.7057905e-10,5.6760651e-08,8.1567715e-11,1.1824868e-08,16.632775
1.0272941e-14,2.5499483e-13,1.81993e-12,3.6793644e-12,2.3830134e-11,6.6676026e-10,3.9366097e-11,1.6902429e-10,5.2819104e-08,8.4804222e-11,1.0407636e-08,17.391823
1.0263263e-14,2.548072e-13,1.8237951e-12,3.6714889e-12,2.3797902e-11,6.6862904e-10,3.9152406e-11,1.6743544e-10,4.7717174e-08,8.7929562e-11,9.1414174e-09,18.18551
1.0253968e-14,2.546335e-13,1.8295807e-12,3.6633313e-12,2.376334e-11,6.6321931e-10,3.8929944e-11,1.6581383e-10,4.2309479e-08,9.0897968e-11,8.0134679e-09,19.015418
1.0245095e-14,2.5447093e-13,1.8370376e-12,3.6548879e-12,2.3726459e-11,6.5105647e-10,3.86987e-11,1.6416108e-10,3.7131266e-08,9.3673447e-11,7.0109237e-09,19.8832
