  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.17551162E+05  0.21778840E-14
  0.18352121E+05  0.20496089E-14
  0.19189633E+05  0.19252447E-14
  0.20065365E+05  0.18049548E-14
  0.20981061E+05  0.16888584E-14
  0.21938546E+05  0.15771071E-14
  0.22939727E+05  0.14697101E-14
  0.23986596E+05  0.13669173E-14
  0.25081241E+05  0.12686458E-14
  0.26225840E+05  0.11750045E-14
  0.27422674E+05  0.10859365E-14
  0.28674126E+05  0.10014873E-14
  0.29982690E+05  0.92157989E-15
  0.31350970E+05  0.84618408E-15
  0.32781693E+05  0.77526907E-15
  0.34277707E+05  0.70873035E-15
  0.35841994E+05  0.64646368E-15
  0.37477667E+05  0.58832435E-15
  0.39187986E+05  0.53422107E-15
  0.40976356E+05  0.48398130E-15
  0.42846340E+05  0.43745999E-15
  0.44801661E+05  0.39452031E-15
  0.46846215E+05  0.35499335E-15
  0.48984074E+05  0.31869571E-15
  0.51219495E+05  0.28545398E-15
  0.53556932E+05  0.25509987E-15
  0.56001038E+05  0.22744076E-15
  0.58556683E+05  0.20232279E-15
  0.61228957E+05  0.17957247E-15
  0.64023182E+05  0.15902356E-15
  0.66944923E+05  0.14050836E-15
  0.70000000E+05  0.12386775E-15
  Principal QN n  Azimuthal QN l
               2               0
 Electron Energy Probability dst
  0.10000000E+01  0.28543475E-12
  0.10456357E+01  0.28548322E-12
  0.10933540E+01  0.28553319E-12
  0.11432499E+01  0.28558467E-12
  0.11954229E+01  0.28563767E-12
  0.12499768E+01  0.28569218E-12
  0.13070204E+01  0.28574819E-12
  0.13666671E+01  0.28580568E-12
  0.14290359E+01  0.28586462E-12
  0.14942509E+01  0.28592498E-12
  0.15624421E+01  0.28598672E-12
  0.16337452E+01  0.28604977E-12
  0.17083022E+01  0.28611408E-12
  0.17862617E+01  0.28617955E-12
  0.18677790E+01  0.28624609E-12
  0.19530164E+01  0.28631359E-12
  0.20421436E+01  0.28638192E-12
  0.21353382E+01  0.28645093E-12
  0.22327858E+01  0.28652044E-12
  0.23346805E+01  0.28659027E-12
  0.24412252E+01  0.28666018E-12
  0.25526322E+01  0.28672994E-12
  0.26691232E+01  0.28679927E-12
  0.27909305E+01  0.28686786E-12
  0.29182965E+01  0.28693538E-12
  0.30514749E+01  0.28700143E-12
  0.31907310E+01  0.28706562E-12
  0.33363422E+01  0.28712748E-12
  0.34885984E+01  0.28718651E-12
  0.36478030E+01  0.28724217E-12
  0.38142729E+01  0.28729387E-12
  0.39883398E+01  0.28734095E-12
  0.41703504E+01  0.28738274E-12
  0.43606672E+01  0.28741847E-12
  0.45596692E+01  0.28744736E-12
  0.47677528E+01  0.28746853E-12
  0.49853324E+01  0.28748109E-12
  0.52128414E+01  0.28748407E-12
  0.54507329E+01  0.28747646E-12
  0.56994808E+01  0.28745719E-12
  0.59595804E+01  0.28742516E-12
  0.62315499E+01  0.28737924E-12
  0.65159309E+01  0.28731826E-12
  0.68132898E+01  0.28724107E-12
  0.71242189E+01  0.28714648E-12
  0.74493374E+01  0.28703336E-12
  0.77892930E+01  0.28690062E-12
  0.81447626E+01  0.28674725E-12
  0.85164544E+01  0.28657237E-12
  0.89051085E+01  0.28637526E-12
  0.93114992E+01  0.28615544E-12
  0.97364357E+01  0.28591268E-12
  0.10180765E+02  0.28564718E-12
  0.10645371E+02  0.28535956E-12
  0.11131179E+02  0.28505104E-12
  0.11639158E+02  0.28472356E-12
  0.12170319E+02  0.28437993E-12
  0.12725720E+02  0.28402404E-12
  0.13306467E+02  0.28366103E-12
  0.13913716E+02  0.28329762E-12
  0.14548678E+02  0.28294235E-12
  0.15212617E+02  0.28260315E-12
  0.15906855E+02  0.28228179E-12
  0.16632775E+02  0.28197856E-12
  0.17391823E+02  0.28169321E-12
  0.18185510E+02  0.28142474E-12
  0.19015418E+02  0.28117130E-12
  0.19883200E+02  0.28092989E-12
  0.20790583E+02  0.28069618E-12
  0.21739375E+02  0.28046415E-12
  0.22731466E+02  0.28022574E-12
  0.23768832E+02  0.27997084E-12
  0.24853539E+02  0.27969363E-12
  0.25987747E+02  0.27939339E-12
  0.27173715E+02  0.27906978E-12
  0.28413806E+02  0.27872275E-12
  0.29710489E+02  0.27835263E-12
  0.31066348E+02  0.27796019E-12
  0.32484081E+02  0.27754678E-12
  0.33966514E+02  0.27711445E-12
  0.35516599E+02  0.27666608E-12
  0.37137423E+02  0.27620558E-12
  0.38832214E+02  0.27573807E-12
  0.40604349E+02  0.27527016E-12
  0.42457356E+02  0.27480985E-12
  0.44394926E+02  0.27436089E-12
  0.46420918E+02  0.27392215E-12
  0.48539368E+02  0.27349141E-12
  0.50754495E+02  0.27306532E-12
  0.53070711E+02  0.27263914E-12
  0.55492628E+02  0.27220637E-12
  0.58025072E+02  0.27175866E-12
  0.60673085E+02  0.27129061E-12
  0.63441942E+02  0.27080187E-12
  0.66337158E+02  0.27029253E-12
  0.69364499E+02  0.26976293E-12
  0.72529995E+02  0.26921370E-12
  0.75839950E+02  0.26864586E-12
  0.79300958E+02  0.26806082E-12
  0.82919910E+02  0.26746054E-12
  0.86704016E+02  0.26684703E-12
  0.90660813E+02  0.26622011E-12
  0.94798180E+02  0.26557865E-12
  0.99124359E+02  0.26492113E-12
  0.10364797E+03  0.26424559E-12
  0.10837801E+03  0.26354955E-12
  0.11332391E+03  0.26283124E-12
  0.11849553E+03  0.26209003E-12
  0.12390315E+03  0.26132535E-12
  0.12955756E+03  0.26053656E-12
  0.13547000E+03  0.25972294E-12
  0.14165227E+03  0.25888370E-12
  0.14811666E+03  0.25801775E-12
  0.15487607E+03  0.25712345E-12
  0.16194394E+03  0.25619882E-12
  0.16933436E+03  0.25524147E-12
  0.17706205E+03  0.25424864E-12
  0.18514240E+03  0.25321824E-12
  0.19359150E+03  0.25214845E-12
  0.20242617E+03  0.25103725E-12
  0.21166403E+03  0.24988235E-12
  0.22132346E+03  0.24868152E-12
  0.23142371E+03  0.24743339E-12
  0.24198488E+03  0.24613685E-12
  0.25302803E+03  0.24479090E-12
  0.26457513E+03  0.24339442E-12
  0.27664920E+03  0.24194560E-12
  0.28927427E+03  0.24044243E-12
  0.30247550E+03  0.23888274E-12
  0.31627917E+03  0.23726457E-12
  0.33071278E+03  0.23558637E-12
  0.34580508E+03  0.23384665E-12
  0.36158613E+03  0.23204407E-12
  0.37808736E+03  0.23017804E-12
  0.39534163E+03  0.22824850E-12
  0.41338331E+03  0.22625535E-12
  0.43224834E+03  0.22419600E-12
  0.45197428E+03  0.22206622E-12
  0.47260044E+03  0.21986127E-12
  0.49416788E+03  0.21757946E-12
  0.51671956E+03  0.21522207E-12
  0.54030041E+03  0.21279026E-12
  0.56495738E+03  0.21028294E-12
  0.59073959E+03  0.20769849E-12
  0.61769839E+03  0.20503690E-12
  0.64588748E+03  0.20230316E-12
  0.67536299E+03  0.19950210E-12
  0.70618363E+03  0.19663033E-12
  0.73841080E+03  0.19368128E-12
  0.77210867E+03  0.19065308E-12
  0.80734438E+03  0.18755583E-12
  0.84418808E+03  0.18439473E-12
  0.88271317E+03  0.18116606E-12
  0.92299639E+03  0.17786576E-12
  0.96511795E+03  0.17449828E-12
  0.10091618E+04  0.17106974E-12
  0.10552155E+04  0.16758242E-12
  0.11033710E+04  0.16403786E-12
  0.11537241E+04  0.16043529E-12
  0.12063751E+04  0.15677845E-12
  0.12614288E+04  0.15307707E-12
  0.13189950E+04  0.14933402E-12
  0.13791882E+04  0.14554128E-12
  0.14421284E+04  0.14170954E-12
  0.15079409E+04  0.13785189E-12
  0.15767568E+04  0.13396173E-12
  0.16487131E+04  0.13004163E-12
  0.17239533E+04  0.12610307E-12
  0.18026270E+04  0.12214983E-12
  0.18848911E+04  0.11818787E-12
  0.19709094E+04  0.11422586E-12
  0.20608532E+04  0.11026451E-12
  0.21549016E+04  0.10630901E-12
  0.22532420E+04  0.10236784E-12
  0.23560703E+04  0.98446602E-13
  0.24635911E+04  0.94547352E-13
  0.25760188E+04  0.90680594E-13
  0.26935771E+04  0.86855293E-13
  0.28165003E+04  0.83073108E-13
  0.29450332E+04  0.79340667E-13
  0.30794318E+04  0.75664176E-13
  0.32199637E+04  0.72043530E-13
  0.33669090E+04  0.68494295E-13
  0.35205601E+04  0.65021077E-13
  0.36812233E+04  0.61624448E-13
  0.38492184E+04  0.58316434E-13
  0.40248800E+04  0.55082587E-13
  0.42085582E+04  0.51945959E-13
  0.44006186E+04  0.48913205E-13
  0.46014438E+04  0.45978407E-13
  0.48114338E+04  0.43140038E-13
  0.50310068E+04  0.40412117E-13
  0.52606002E+04  0.37789137E-13
  0.55006712E+04  0.35273513E-13
  0.57516981E+04  0.32868103E-13
  0.60141807E+04  0.30572167E-13
  0.62886419E+04  0.28385551E-13
  0.65756283E+04  0.26307939E-13
  0.68757115E+04  0.24338481E-13
  0.71894893E+04  0.22475289E-13
  0.75175865E+04  0.20716834E-13
  0.78606566E+04  0.19060807E-13
  0.82193830E+04  0.17505107E-13
  0.85944801E+04  0.16046782E-13
  0.89866950E+04  0.14683141E-13
  0.93968089E+04  0.13410982E-13
  0.98256386E+04  0.12226357E-13
  0.10274038E+05  0.11126017E-13
  0.10742901E+05  0.10105204E-13
  0.11233160E+05  0.91628972E-14
  0.11745793E+05  0.82929188E-14
  0.12281820E+05  0.74922261E-14
  0.12842310E+05  0.67564114E-14
  0.13428377E+05  0.60820270E-14
  0.14041190E+05  0.54652962E-14
  0.14681969E+05  0.49024797E-14
  0.15351991E+05  0.43898856E-14
  0.16052589E+05  0.39240259E-14
  0.16785160E+05  0.35016927E-14
  0.17551162E+05  0.31193777E-14
  0.18352121E+05  0.27740652E-14
  0.19189633E+05  0.24629147E-14
  0.20065365E+05  0.21829590E-14
  0.20981061E+05  0.19315615E-14
  0.21938546E+05  0.17063246E-14
  0.22939727E+05  0.15049474E-14
  0.23986596E+05  0.13252061E-14
  0.25081241E+05  0.11650224E-14
  0.26225840E+05  0.10226074E-14
  0.27422674E+05  0.89613382E-15
  0.28674126E+05  0.78415698E-15
  0.29982690E+05  0.68508448E-15
  0.31350970E+05  0.59762246E-15
  0.32781693E+05  0.52051452E-15
  0.34277707E+05  0.45270319E-15
  0.35841994E+05  0.39312753E-15
  0.37477667E+05  0.34087948E-15
  0.39187986E+05  0.29516315E-15
  0.40976356E+05  0.25520137E-15
  0.42846340E+05  0.22032187E-15
  0.44801661E+05  0.18993811E-15
  0.46846215E+05  0.16351731E-15
  0.48984074E+05  0.14057447E-15
  0.51219495E+05  0.12067627E-15
  0.53556932E+05  0.10345310E-15
  0.56001038E+05  0.88566724E-16
