  Principal QN n  Azimuthal QN l
               1               0
 Electron Energy Probability dst
  0.11954229E+01  0.61468958E-10
  0.12499768E+01  0.61483267E-10
  0.13070204E+01  0.61497648E-10
  0.13666671E+01  0.61512060E-10
  0.14290359E+01  0.61526461E-10
  0.14942509E+01  0.61540802E-10
  0.15624421E+01  0.61555031E-10
  0.16337452E+01  0.61569091E-10
  0.17083022E+01  0.61582920E-10
  0.17862617E+01  0.61596452E-10
  0.18677790E+01  0.61609616E-10
  0.19530164E+01  0.61622325E-10
  0.20421436E+01  0.61634479E-10
  0.21353382E+01  0.61645967E-10
  0.22327858E+01  0.61656671E-10
  0.23346805E+01  0.61666461E-10
  0.24412252E+01  0.61675198E-10
  0.25526322E+01  0.61682729E-10
  0.26691232E+01  0.61688894E-10
  0.27909305E+01  0.61693517E-10
  0.29182965E+01  0.61696415E-10
  0.30514749E+01  0.61697392E-10
  0.31907310E+01  0.61696240E-10
  0.33363422E+01  0.61692742E-10
  0.34885984E+01  0.61686673E-10
  0.36478030E+01  0.61677798E-10
  0.38142729E+01  0.61665877E-10
  0.39883398E+01  0.61650655E-10
  0.41703504E+01  0.61631857E-10
  0.43606672E+01  0.61609204E-10
  0.45596692E+01  0.61582417E-10
  0.47677528E+01  0.61551217E-10
  0.49853324E+01  0.61515333E-10
  0.52128414E+01  0.61474510E-10
  0.54507329E+01  0.61428512E-10
  0.56994808E+01  0.61377130E-10
  0.59595804E+01  0.61320094E-10
  0.62315499E+01  0.61257066E-10
  0.65159309E+01  0.61187719E-10
  0.68132898E+01  0.61111742E-10
  0.71242189E+01  0.61028852E-10
  0.74493374E+01  0.60938800E-10
  0.77892930E+01  0.60841386E-10
  0.81447626E+01  0.60736302E-10
  0.85164544E+01  0.60623108E-10
  0.89051085E+01  0.60501361E-10
  0.93114992E+01  0.60370622E-10
  0.97364357E+01  0.60230465E-10
  0.10180765E+02  0.60080491E-10
  0.10645371E+02  0.59920320E-10
  0.11131179E+02  0.59749565E-10
  0.11639158E+02  0.59567871E-10
  0.12170319E+02  0.59374943E-10
  0.12725720E+02  0.59170559E-10
  0.13306467E+02  0.58954599E-10
  0.13913716E+02  0.58727066E-10
  0.14548678E+02  0.58488084E-10
  0.15212617E+02  0.58237484E-10
  0.15906855E+02  0.57974831E-10
  0.16632775E+02  0.57699697E-10
  0.17391823E+02  0.57411670E-10
  0.18185510E+02  0.57110361E-10
  0.19015418E+02  0.56795419E-10
  0.19883200E+02  0.56466540E-10
  0.20790583E+02  0.56123516E-10
  0.21739375E+02  0.55766235E-10
  0.22731466E+02  0.55394695E-10
  0.23768832E+02  0.55009031E-10
  0.24853539E+02  0.54609422E-10
  0.25987747E+02  0.54195587E-10
  0.27173715E+02  0.53767051E-10
  0.28413806E+02  0.53323311E-10
  0.29710489E+02  0.52863992E-10
  0.31066348E+02  0.52388976E-10
  0.32484081E+02  0.51898237E-10
  0.33966514E+02  0.51391784E-10
  0.35516599E+02  0.50869425E-10
  0.37137423E+02  0.50330896E-10
  0.38832214E+02  0.49775938E-10
  0.40604349E+02  0.49204326E-10
  0.42457356E+02  0.48615992E-10
  0.44394926E+02  0.48010946E-10
  0.46420918E+02  0.47389258E-10
  0.48539368E+02  0.46751032E-10
  0.50754495E+02  0.46096185E-10
  0.53070711E+02  0.45424511E-10
  0.55492628E+02  0.44735759E-10
  0.58025072E+02  0.44029872E-10
  0.60673085E+02  0.43307407E-10
  0.63441942E+02  0.42569069E-10
  0.66337158E+02  0.41815033E-10
  0.69364499E+02  0.41045156E-10
  0.72529995E+02  0.40259528E-10
  0.75839950E+02  0.39458552E-10
  0.79300958E+02  0.38642742E-10
  0.82919910E+02  0.37812925E-10
  0.86704016E+02  0.36970093E-10
  0.90660813E+02  0.36115040E-10
  0.94798180E+02  0.35247055E-10
  0.99124359E+02  0.34364544E-10
  0.10364797E+03  0.33468172E-10
  0.10837801E+03  0.32568432E-10
  0.11332391E+03  0.31670243E-10
  0.11849553E+03  0.30757660E-10
  0.12390315E+03  0.29827102E-10
  0.12955756E+03  0.28894511E-10
  0.13547000E+03  0.27964145E-10
  0.14165227E+03  0.27032025E-10
  0.14811666E+03  0.26096382E-10
  0.15487607E+03  0.25160058E-10
  0.16194394E+03  0.24226234E-10
  0.16933436E+03  0.23297190E-10
  0.17706205E+03  0.22373757E-10
  0.18514240E+03  0.21455897E-10
  0.19359150E+03  0.20547434E-10
  0.20242617E+03  0.19650369E-10
  0.21166403E+03  0.18764322E-10
  0.22132346E+03  0.17891175E-10
  0.23142371E+03  0.17033580E-10
  0.24198488E+03  0.16192599E-10
  0.25302803E+03  0.15369098E-10
  0.26457513E+03  0.14564844E-10
  0.27664920E+03  0.13781513E-10
  0.28927427E+03  0.13019035E-10
  0.30247550E+03  0.12278839E-10
  0.31627917E+03  0.11563021E-10
  0.33071278E+03  0.10870875E-10
  0.34580508E+03  0.10202939E-10
  0.36158613E+03  0.95603589E-11
  0.37808736E+03  0.89441814E-11
  0.39534163E+03  0.83545362E-11
  0.41338331E+03  0.77899027E-11
  0.43224834E+03  0.72523065E-11
  0.45197428E+03  0.67404708E-11
  0.47260044E+03  0.62541749E-11
  0.49416788E+03  0.57933652E-11
  0.51671956E+03  0.53581149E-11
  0.54030041E+03  0.49473933E-11
  0.56495738E+03  0.45604784E-11
  0.59073959E+03  0.41970032E-11
  0.61769839E+03  0.38564331E-11
  0.64588748E+03  0.35375332E-11
  0.67536299E+03  0.32397463E-11
  0.70618363E+03  0.29621974E-11
  0.73841080E+03  0.27041461E-11
  0.77210867E+03  0.24645318E-11
  0.80734438E+03  0.22425137E-11
  0.84418808E+03  0.20372102E-11
  0.88271317E+03  0.18477137E-11
  0.92299639E+03  0.16732021E-11
  0.96511795E+03  0.15127669E-11
  0.10091618E+04  0.13655787E-11
  0.10552155E+04  0.12306396E-11
  0.11033710E+04  0.11074708E-11
  0.11537241E+04  0.99506630E-12
  0.12063751E+04  0.89272924E-12
  0.12614288E+04  0.79969733E-12
  0.13189950E+04  0.71523525E-12
  0.13791882E+04  0.63883632E-12
  0.14421284E+04  0.56975569E-12
  0.15079409E+04  0.50739663E-12
  0.15767568E+04  0.45126837E-12
  0.16487131E+04  0.40073498E-12
  0.17239533E+04  0.35541976E-12
  0.18026270E+04  0.31486001E-12
  0.18848911E+04  0.27847800E-12
  0.19709094E+04  0.24598178E-12
  0.20608532E+04  0.21700182E-12
  0.21549016E+04  0.19116462E-12
  0.22532420E+04  0.16821720E-12
  0.23560703E+04  0.14780799E-12
  0.24635911E+04  0.12970362E-12
  0.25760188E+04  0.11367458E-12
  0.26935771E+04  0.99489133E-13
  0.28165003E+04  0.86974879E-13
  0.29450332E+04  0.75924967E-13
  0.30794318E+04  0.66201835E-13
  0.32199637E+04  0.57644447E-13
  0.33669090E+04  0.50135282E-13
  0.35205601E+04  0.43547248E-13
  0.36812233E+04  0.37782069E-13
  0.38492184E+04  0.32739356E-13
  0.40248800E+04  0.28339536E-13
  0.42085582E+04  0.24501946E-13
  0.44006186E+04  0.21162541E-13
  0.46014438E+04  0.18256640E-13
  0.48114338E+04  0.15733640E-13
  0.50310068E+04  0.13544574E-13
  0.52606002E+04  0.11648212E-13
  0.55006712E+04  0.10007827E-13
  0.57516981E+04  0.85897684E-14
  0.60141807E+04  0.73662635E-14
  0.62886419E+04  0.63115559E-14
  0.65756283E+04  0.54027051E-14
  0.68757115E+04  0.46205324E-14
  0.71894893E+04  0.39479394E-14
  0.75175865E+04  0.33700394E-14
  0.78606566E+04  0.28743657E-14
  0.82193830E+04  0.24496148E-14
  0.85944801E+04  0.20856998E-14
  0.89866950E+04  0.17741836E-14
  0.93968089E+04  0.15081022E-14
